Niveau;Vocabulaire;Signification;Lecture
N3;節約;éparge, économie;せつやく
N2;瀬戸物;céramique, porcelaine;せともの
N4;背中;dos;せなか
N4;是非;certainement, sans faute;ぜひ
N2;是非とも;à tout prix, coûte que coûte;ぜひとも
N5;背広;costume d'affaire;せびろ
N5;狭い;étroit, exigu, petit;せまい
N2;迫る [五段];s'approcher, se rapprocher, exiger;せまる
N2;;séminaire;ゼミ
N3;責める [一段];condamner, blâmer, critiquer;せめる
N2;攻める [一段];attaquer, assaillir;せめる
N2;;ciment;セメント
N2;台詞;discours, parole, remarque;せりふ
N5;;zéro;ゼロ
N4;世話;assistance;せわ
N5;千;mille;せん
N4;線;ligne (de train, de téléphone...);せん
N3;善;vertu, bien;ぜん
N2;全;tout, tous, la totalité;ぜん
N3;全員;tous les membres;ぜんいん
N5;先月;mois dernier;せんげつ
N2;前後;avant et après, devant et derrière, environ, à peu près;ぜんご
N3;専攻;domaine principale, spécialité;せんこう
N3;全国;dans tous le pays, national;ぜんこく
N2;洗剤;détergent, lessive;せんざい
N3;先日;l'autre jour, il y a quelques jours;せんじつ
N3;前者;le premier (des deux);ぜんしゃ
N3;選手;sportif, joueur d'une équipe;せんしゅ
N5;先週;semaine dernière;せんしゅう
N2;全集;œuvres complètes;ぜんしゅう
N3;前進;avancée, progrès;ぜんしん
N2;全身;le corps tout entier;ぜんしん
N2;扇子;éventail;せんす
N5;先生;professeur, enseignant;せんせい
N2;専制;despotisme, autocratie;せんせい
N4;全然;pas du tout (+négatif);ぜんぜん
N2;先々月;le mois dernier;せんせんげつ
N2;先々週;la semaine dernière;せんせんしゅう
N2;先祖;ancêtre;せんぞ
N4;戦争;guerre;せんそう
N3;;centre;センター
N3;全体;complètement, entièrement;ぜんたい
N5;洗濯;lessive;せんたく
N3;選択;décision, choix;せんたく
N5;洗濯する;faire la lessive;せんたくする
N2;先端;pointe, bout, extrémité;せんたん
N2;;centimètre;センチ
N2;宠伝;propagande, publicité;せんでん
N2;先頭;avant-garde, pionner, premier;せんとう
N4;先輩;supérieur (au travail, à l'école...);せんぱい
N2;全般;dans l'ensemble, dans sa totalité, en général;ぜんぱん
N5;全部;totalement, en entier;ぜんぶ
N2;扇風機;ventilateur;せんぷうき
N2;洗面する;se laver le visage;せんめんする
N4;専門;spécialité;せんもん
N2;全力;toute son énergie, toutes ses forces;ぜんりょく
N2;線路;voie ferrée;せんろ
N4;;ainsi;そう
N2;総;complet, entier, total;そう
N3;象;éléphant;ぞう
N2;相違;différence, variation, divergence;そうい
N3;騒音;bruit;そうおん
N3;増加;augmentation, addition;ぞうか
N2;雑巾;chiffon, tissu utilisé pour le ménage;ぞうきん
N2;増減;variations, fluctuation, augmentation et baisse;ぞうげん
N2;倉庫;entrepôt;そうこ
N2;相互;mutuel, réciproque;そうご
N3;操作;opération, traitement, manipulation;そうさ
N2;創作;création littéraire, production, travail;そうさく
N2;掃除;balayage, nettoyage;そうじ
N2;葬式;funérailles, obsèques;そうしき
N5;掃除する;faire le ménage;そうじする
N5;然うして;et ensuite, et après;そうして
N2;造船;construction navale;ぞうせん
N3;想像;imagination;そうぞう
N2;騒々しい;bruyant, turbulent;そうぞうしい
N3;相続;succession, héritage;そうぞく
N2;増大;agrandissement;ぞうだい
N4;相談;consultation, discussion;そうだん
N4;相談する;demander conseil, consulter;そうだんする
N3;装置;équipement, installation, matériel;そうち
N3;相当;convenable, équitable, tolérable, propre;そうとう
N2;送別;adieux;そうべつ
N2;草履;zôri (sandale de paille japonaise);ぞうり
N2;総理大臣;Premier Ministre;そうりだいじん
N2;送料;frais de port, affranchissement;そうりょう
N2;属する;appartenir à, être affilié à, faire partie de;ぞくする
N2;続々;l'un après l'autre, successivement;ぞくぞく
N2;速達;livraison rapide;そくたつ
N2;測定;mesure;そくてい
N3;速度;vitesse, vélocité;そくど
N2;測量;mesure, enquête (sondage);そくりょう
N2;速力;vitesse;そくりょく
N5;其処;là (proche de l'interlocuteur);そこ
N3;底;fond, partie basse;そこ
N3;其処で;alors, dans ce cas, sur ce, maintenant;そこで
N3;組織;organisation, système, construction;そしき
N2;素質;caractère, qualité, génie;そしつ
N3;然して;ensuite, de plus, et;そして
N2;祖先;ancêtre;そせん
N3;注ぐ [五段];verser, répandre;そそぐ
N2;;étourdi, distrait, imprudent;そそっかしい
N3;育つ [五段];élever (des enfants), grandir;そだつ
N4;育てる [一段];élever, ériger;そだてる
N4;其方;ce côté-là (proche de l'interlocuteur);そちら
N4;卒業;obtention d'un diplôme;そつぎょう
N3;;ressemblant, semblable;そっくり
N4;其方;ce côté-là (proche de l'interlocuteur);そっち
N2;率直;franchise, candeur, sincérité;そっちょく
N3;;doucement, furtivement;そっと
N3;袖;manche de vêtement;そで
N5;外;dehors, extérieur, à l'air libre;そと
N3;備える [一段];fournir, équiper, installer;そなえる
N5;其の;ce (proche de l'interlocuteur);その
N2;その上;en outre, de plus;そのうえ
N3;その内;tôt ou tard, éventuellement;そのうち
N2;その為;pour cela, donc, pour cette raison;そのため
N5;その他;divers;そのほか
N2;その外;etc;そのほか
N3;其の儘;tel quel, sans changement;そのまま
N5;側;proche de, à côté de;そば
N2;蕎麦;soba (nouilles de sarrasin);そば
N4;祖父;grand-père;そふ
N3;;canapé, sofa, divant;ソファー
N4;祖母;grand-mère;そぼ
N3;粗末;grossier, rude, simple, humble;そまつ
N5;空;ciel;そら
N2;剃る [五段];raser, couper;そる
N5;其れ;ceci (proche de l'interlocuteur);それ
N5;其れから;ensuite, après, depuis lors;それから
N4;其れで;de ce fait;それで
N3;其れでも;cependant, même si, néanmoins;それでも
N5;其れでは;dans ce cas, alors, donc;それでわ
N3;其れ共;ou, ou alors;それとも
N2;其れなら;dans ce cas, si c'est le cas;それなら
N4;其れに;de plus, d'ailleurs;それに
N4;其れはいけませんね;c'est ennuyeux;"それはいけませ
んね"
N4;其れ程;tellement;それほど
N2;逸れる [一段];s'écarter du sujet, s'égarer, se perdre;それる
N2;揃う [五段];"être tous présents, devenir complet, être égal,
rassembler";そろう
N2;揃える [一段];mettre en ordre, arranger, rendre uniforme;そろえる
N4;;doucement, petit à petit;そろそろ
N2;算盤;boulier;そろばん
N3;損;dommage, perte, dégât;そん
N3;損害;dommage, dégât;そんがい
N3;尊敬;respect, considération, admiration;そんけい
N2;尊敬する;respecter, admirer, considérer;そんけいする
N3;存在;existence;そんざい
N2;存じる [一段];savoir;ぞんじる
N3;尊重;respect, estime;そんちょう
N2;損得;gain et perte, avantage et désavantage;そんとく
N4;;une telle (chose), une pareille (chose);そんな
N4;;comme, tellement;そんなに
N3;田;rizière;た
N2;対;contre, versus;たい
N5;台;support, socle, table;だい
N5;台;compteur pour le nombre de voitures;だい
N3;題;titre, sujet, thème;だい
N2;第;préfixe ordinal (le …ième);だい
N2;題;"compteur pour les questions (dans un test, un
examen…)";だい
N3;体育;éducation physique;たいいく
N2;第一;le premier, le numéro 1;だいいち
N4;退院;sortie de l'hôpital;たいいん
N3;体温;température corporelle;たいおん
N3;大会;assemblée, convention, rassemblement;たいかい
N5;大学;université;だいがく
N2;大学院;bâtiment universitaire;だいがくいん
N4;大学生;étudiant à l'université;だいがくせい
N3;大気;atmosphère;たいき
N3;代金;prix, coût, charge;だいきん
N2;大工;charpentier;だいく
N3;退屈;ennuyeux, monotone;たいくつ
N2;体系;système, organisation;たいけい
N2;太鼓;tambour;たいこ
N3;滞在;séjour;たいざい
N2;滞在する;séjourner;たいざいする
N2;対策;contre-mesure;たいさく
N3;大使;ambassadeur;たいし
N4;大事;important;だいじ
N5;大使館;ambassade;たいしかん
N3;大した;énorme, considérable, important, significatif;たいした
N2;体重;poids de son corps;たいじゅう
N3;対象;objet (d'une étude par exemple), but;たいしょう
N2;対照;contraste, antithèse, comparaison;たいしょう
N2;大小;de taille variée, grand et petit;だいしょう
N5;大丈夫;qui va bien, sans problème;だいじょうぶ
N3;大臣;ministre;だいじん
N5;大好き;adorable, adoré;だいすき
N3;対する;se confronter à, affronter, s'opposer à, faire face à;たいする
N2;体制;ordre, système, structure, organisation;たいせい
N2;体積;capacité, volume;たいせき
N5;大切;important;たいせつ
N3;大戦;grande guerre, grande bataille;たいせん
N2;体操;gymnastique;たいそう
N4;大体;à peu près, dans l'ensemble;だいたい
N5;大抵;d'habitude, en général;たいてい
N3;態度;attitude, manière;たいど
N3;大統領;Président, chef de l'Exécutif;だいとうりょう
N5;台所;cuisine;だいどころ
N3;大半;majorité, principalement, généralement;たいはん
N3;代表;représentation, délégation, exemple, modèle;だいひょう
N4;大分;considérablement, beaucoup;だいぶ
N4;;type, style;タイプ
N4;台風;typhon;たいふう
N3;大部分;majorité, grande partie, la plupart;だいぶぶん
N3;;machine à écrire;タイプライター
N5;大変;sérieux, grave, important, immense, énorme;たいへん
N3;逮捕;arrestation, capture;たいほ
N2;大木;arbre énorme;たいぼく
N2;題名;titre;だいめい
N2;代名詞;pronom;だいめいし
N2;;pneu;タイヤ
N2;;diagramme;ダイヤグラム
N2;;diamant;ダイヤモンド
N2;;cadran, composer (un numéro);ダイヤル
N3;太陽;Soleil;たいよう
N3;平ら;calme, plat, assis en tailleur;たいら
N3;代理;remplaçant, suppléant, substitut;だいり
N3;大陸;continent;たいりく
N2;対立;confrontation, opposition;たいりつ
N2;田植え;culture du riz, repiquage du riz;たうえ
N2;絶えず;constamment, sans cesse;たえず
N2;耐える [一段];résister, supporter, endurer;たえる
N2;楕円;ellipse;だえん
N3;倒す [五段];vaincre, défaire;たおす
N3;;serviette de toilette;タオル
N4;倒れる [一段];s'effondrer;たおれる
N3;;mais, cependant;だが
N5;高い;haut, cher;たかい
N3;互い;mutuel, réciproque;たがい
N2;高める [一段];augmenter, élever, accroître, améliorer;たかめる
N2;耕す [五段];labourer, cultiver;たがやす
N3;宝;trésor;たから
N4;;donc;だから
N2;滝;chute d'eau, cascade;たき
N3;宅;chez soi, maison;たく
N2;炊く [五段];faire bouillir, cuire, cuisiner;たく
N3;抱く [五段];étreindre, embrasser;だく・いだく
N5;沢山;beaucoup;たくさん
N5;;taxi;タクシー
N2;蓄える [一段];emmagasiner, stocker, garder en réserve;たくわえる
N2;竹;bambou;たけ
N5;丈;juste, seulement;だけ
N3;;cependant;だけど
N4;確か;sûr, certain;たしか
N4;確;certainement, assurément, si je ne me trompe pas;たしか
N3;確かめる [一段];vérifier, s'assurer de, confirmer;たしかめる
N3;多尐;plus ou moins, quelque peu;たしょう
N4;足す [五段];ajouter (des nombres);たす
N5;出す [五段];sortir, partir;だす
N2;助かる [五段];être sauvé, être secouru;たすかる
N3;助ける [一段];aider, sauver, secourir, épargner (la vie), soulager;たすける
N4;尋ねる [一段];demander, se renseigner;たずねる
N4;訪ねる [一段];visiter;たずねる
N3;唯・只;ordinaire, commun, gratuit, seulement;ただ
N4;ただ今;je suis rentré (en rentrant chez soi);ただいま
N3;戦い;bataille, combat;たたかい
N3;戦う [五段];combattre, lutter;たたかう
N3;叩く [五段];frapper, battre, taper;たたく
N2;但し;mais, cependant, à condition que;ただし
N4;正しい;juste, correct;ただしい
N3;直ちに;immédiatement, directement, en personne;ただちに
N4;畳;tatami, couverture de sol japonais en paille;たたみ
N2;畳む [五段];plier (des vêtements);たたむ
N5;達;marque du pluriel, suffixe pour le pluriel;たち
N3;立ち上がる [五段];se lever, se mettre debout;たちあがる
N2;立ち止まる [五段];s'arrêter, ne pas bouger;たちどまる
N3;立場;point de vue, position, situation;たちば
N2;忽ち;"dans un instant, soudainement, d'un coup, tout de
suite";たちまち
N5;立つ [五段];se lever, être érigé, être levé, tenir debout;たつ
N5;発つ [五段];partir (en train, en avion…);たつ
N3;経つ [五段];passer, s'écouler (en parlant du temps);たつ
N2;建つ [五段];être érigé, être fondé;たつ
N3;達する;parvenir à, atteindre, arriver à;たっする
N2;脱線;écart, digression, déraillement;だっせん
N3;;seulement (+nombre), uniquement;たった
N3;;mais, parce que, aussi;だって
N3;;abondamment;たっぷり
N2;;plein, rempli;たっぷり
N3;縦;longueur, hauteur;たて
N5;建物;bâtiment;たてもの
N4;建てる [一段];construire;たてる
N4;立てる [一段];élever, ériger, dresser, établir;たてる
N2;妥当;approprié, adéquat;だとう
N3;例え;même si, bien que, quoi que, exemple;たとえ
N4;例えば;par exemple;たとえば
N2;例える [一段];"comparer, illustrer avec un exemple, utiliser une
comparaison";たとえる
N4;棚;étagère;たな
N3;谷;vallée;たに
N3;他人;autre personne, étranger, inconnu;たにん
N3;種;graine, pépin;たね
N5;楽しい;plaisant, amusant;たのしい
N4;楽しみ;plaisir, amusement;たのしみ
N4;楽しむ [五段];se faire plaisir, se divertir;たのしむ
N2;頼み;requête, faveur, demande, confiance;たのみ
N5;頼む [五段];demander;たのむ
N2;頼もしい;digne de confiance, fiable, plein d'espoir;たのもしい
N3;束;bouquet, botte, paquet;たば
N5;煙草;cigarette, tabac;たばこ
N3;度;nombre de fois;たび
N3;旅;voyage, excursion;たび
N2;足袋;"tabi (chaussette japonaise dont le gros orteil est
séparé)";たび
N3;度々;souvent, à plusieurs reprises;たびたび
N2;;double;ダブル
N5;多分;peut-être;たぶん
N5;食べ物;nourriture;たべもの
N5;食べる [一段];manger;たべる
N3;玉・球・弾;balle, spère, projectile;たま
N5;卵;oeuf;たまご
N2;騙す [五段];tricher, escroquer, tromper, duper;だます
N3;偶々;par hasard, par chance;たまたま
N4;偶に;occasionnellement;たまに
N3;堪らない;intolérable, insupportable;たまらない
N2;溜まる [五段];s'accumuler, s'entasser, s'amasser;たまる
N3;黙る [五段];être silencieux;だまる
N2;;barrage, muet, idiot;ダム
N4;為;dans le but de, à cause de, du fait de;ため
N4;駄目;impossible, non, pas moyen;だめ
N2;溜息;soupir;ためいき
N3;試し;essai, test;ためし
N3;試す [五段];essayer, tenter;ためす
N2;躊躇う [五段];hésiter;ためらう
N3;便り;informations, nouvelles;たより
N3;頼る [五段];compter sur, avoir recours à, dépendre de;たよる
N2;;être plein de (connotation négative), être couvert de;だらけ
N2;;négligé, malpropre, relaché;だらしない
N4;足りる [一段];être suffisant, être assez;たりる
N2;足る [五段];être suffisant, suffire, être assez;たる
N5;誰;qui ?, quelqu'un;だれ
N5;誰か;quelqu'un;だれか
N3;段;marche, colonne, échelon, rang;だん
N3;卖位;unité, crédit (à l'école);たんい
N2;段階;étape, phase;だんかい
N2;短期;court terme, courte période;たんき
N3;卖語;mot de vocabulaire;たんご
N2;炭鉱;mine de charbon;たんこう
N3;男子;jeune homme;だんし
N3;卖純;candide, naïf, simple;たんじゅん
N2;短所;défaut, point faible, imperfection;たんしょ
N3;誕生;naissance;たんじょう
N5;誕生日;anniversaire;たんじょうび
N2;箪笥;commode;たんす
N3;;danse;ダンス
N2;淡水;eau fraîche;たんすい
N2;断水;manque d'eau, pénurie d'eau;だんすい
N2;卖数;singulier (grammaire);たんすう
N4;男性;mâle;だんせい
N3;団体;organisation, association;だんたい
N5;段々;progressivement, petit à petit;だんだん
N2;団地;HLM, ensemble d'appartements;だんち
N2;断定;conclusion, décision;だんてい
N3;担当する;être en charge de;たんとうする
N2;担当する;être en charge de, être responsable de;たんとうする
N3;卖なる;simple, seulement, pur;たんなる
N3;卖に;simplement, seulement;たんに
N2;短編;œuvre courte (film, histoire…);たんぺん
N4;暖房;chauffage;だんぼう
N4;血;sang;ち
N3;地;terre, sol, terrain;ち
N3;地位;statut, position sociale;ちい
N3;地域;région, zone géographique;ちいき
N5;小さい;petit;ちいさい
N4;小さな;petit;ちいさな
N3;;fromage;チーズ
N3;;équipe;チーム
N3;知恵;sagesse, intelligence, raison, bon sens;ちえ
N3;地下;sous-sol, souterrain;ちか
N5;近い;proche (en distance), près;ちかい
N3;違い;différence, divergence;ちがい
N3;違いない;il est sûr que, c'est certain que;ちがいない
N2;誓う [五段];jurer, faire vœu de, prêter serment;ちかう
N5;違う [五段];être différent;ちがう
N5;近く;voisinage, environ;ちかく
N3;近頃;récemment, ces derniers temps;ちかごろ
N2;地下水;eau souterraine;ちかすい
N2;近々;bientôt, sous peu;ちかぢか
N2;近づく [五段];"se rapprocher, devenir proche, se lier d'amitié avec
quelqu'un";ちかづく
N2;近づける [一段];approcher quelque chose, rapproche quelque chose;ちかづける
N5;地下鉄;métro;ちかてつ
N2;近寄る [五段];s'approche de quelque chose;ちかよる
N4;力;force, énergie, puissance;ちから
N2;力強い;fort, puissant, vigoureux;ちからづよい
N3;地球;Terre, globe terrestre;ちきゅう
N2;千切る [五段];couper, découper;ちぎる
N3;地区;secteur, zone, quartier;ちく
N3;遅刻する;arriver en retard, être en retard;ちこくする
N3;知事;gouverneur d'une région;ちじ
N3;知識;connaissance, savoir;ちしき
N2;地質;nature d'un terrain;ちしつ
N2;知人;connaissance (en parlant d'une personne), ami;ちじん
N5;地図;carte, plan;ちず
N2;地帯;aire géograpique, zone;ちたい
N5;父;père;ちち
N3;父親;père;ちちおや
N2;縮む [五段];se rétrécir, se contracter;ちぢむ
N2;縮める [一段];raccourcir, réduire, contracter;ちぢめる
N2;縮れる [一段];friser (en parlant des cheveux);ちぢれる
N4;些とも;pas du tout (+négatif);ちっとも
N2;;pourboire;チップ
N2;地点;endroit, lieu;ちてん
N3;知能;capacités intellectuelles, intelligence;ちのう
N3;地平線;horizon;ちへいせん
N2;地名;nom d'un lieu;ちめい
N5;茶色;marron clair;ちゃいろ
N5;茶色;marron;ちゃいろ
N2;茶色い;marron clair, brun;ちゃいろい
N2;着;compteur pour les vêtements;ちゃく
N2;着;arrivée à;ちゃく
N2;着々;régulièrement, progressivement;ちゃくちゃく
N5;茶碗;bol à riz, tasse à thé;ちゃわん
N3;;chance, occasion;チャンス
N3;;correctement;ちゃんと
N5;中;pendant;ちゅう
N3;注;note explicative, commentaire, NB;ちゅう
N4;注意;prudence, attention;ちゅうい
N3;中央;milieu, centre;ちゅうおう
N3;中学;collège;ちゅうがく
N4;中学校;collège;ちゅうがっこう
N2;中間;milieu, intermédiaire, à mi-chemin;ちゅうかん
N3;中古;d'occasion, de seconde main;ちゅうこ
N3;中止;interruption, arrêt, suspension;ちゅうし
N4;注射;piqûre, injection;ちゅうしゃ
N3;駐車;parking;ちゅうしゃ
N4;駐車場;place de parking;"ちゅうしゃじょ
う"
N2;中旪;milieu du mois, deuxième tiers d'un mois;ちゅうじゅん
N2;抽象;abstrait;ちゅうしょう
N3;昼食;repas de midi;ちゅうしょく
N3;中心;centre, milieu, cœur, pivot;ちゅうしん
N2;中世;Moyen Âge;ちゅうせい
N2;中性;"neutralité (électrique, chimique…), indifférence,
androgyne, neutre (en grammaire)";ちゅうせい
N2;中途;à mi-chemin, au milieu;ちゅうと
N2;中年;âge mûr, âge moyen;ちゅうねん
N3;注目;"attention (le fait de faire attention à quelque chose),
observation";ちゅうもく
N3;注文;commande, ordre;ちゅうもん
N2;注文する;commander, donner un ordre;ちゅうもんする
N2;長;chef, directeur;ちょう
N2;庁;bureau gouvernemental;ちょう
N2;兆;signe, présage, prémonition, 10^12;ちょう
N2;帳;registre, livre;ちょう
N2;超過;excès, surplus;ちょうか
N3;長期;longue période;ちょうき
N2;彫刻;gravure, sculpture (l'activité et non l'objet);ちょうこく
N3;調査;enquête, investigation, recherche;ちょうさ
N3;調子;"rythme, tonalité, humeur, état d'esprit, état de
santé, tendance";ちょうし
N2;長所;point fort, avantage;ちょうしょ
N2;長女;fille ainée;ちょうじょ
N3;頂上;cime, point culminant;ちょうじょう
N2;調整;régulation, ajustement, réglage;ちょうせい
N2;調節;réglage, contrôle;ちょうせつ
N3;頂戴;le fait de recevoir, s'il vous plait;ちょうだい
N2;長短;"avantages et inconvénients, points forts et points
faibles, long et court";ちょうたん
N2;頂点;cime, sommet, point culminant;ちょうてん
N5;丁度;juste, exact;ちょうど
N2;長男;fils aîné;ちょうなん
N2;長方形;rectangle;ちょうほうけい
N2;調味料;assaisonnement;ちょうみりょう
N2;丁目;quartier d'une ville, district;ちょうめ
N2;;craie;チョーク
N3;貯金;économies (réserve d'argent), épargne;ちょきん
N2;貯金する;économiser (mettre de côté);ちょきんする
N2;直後;immédiatement après, juste après;ちょくご
N3;直接;direct, immédiat;ちょくせつ
N2;直線;ligne droite;ちょくせん
N2;直前;juste avant;ちょくぜん
N2;直通;"direct (en parlant d'un trajet pour un train, un
avion…)";ちょくつう
N2;直流;courant direct;ちょくりゅう
N3;著者;auteur (d'un livre), écrivain;ちょしゃ
N2;貯蔵;conservation, stockage, réserve;ちょぞう
N2;直角;angle droit;ちょっかく
N2;直径;diamètre;ちょっけい
N5;一寸;"juste une minute, un petit peu, un instant, un
moment";ちょっと
N2;散らかす [五段];éparpiller, disperser, mettre en désordre;ちらかす
N2;散らかる [五段];être éparpiller, être en désordre;ちらかる
N4;地理;géographie;ちり
N2;塵紙;mouchoir en papier, paper toilette;ちりがみ
N2;散る [五段];"tomber (des feuilles , des fleurs…), se disperser,
s'éparpiller, se répandre";ちる
N2;追加;ajout;ついか
N2;追加する;ajouter;ついかする
N5;一日;premier jour du mois, 1 jour;ついたち
N2;序;opportunité, occasion;ついで
N3;遂に;finalement, à la fin;ついに
N2;通;compteur pour les documents, les lettres;つう
N3;通過;passage, traversée;つうか
N2;通貨;devise monétaire;つうか
N3;通学する;fréquenter une école, se rendre à l'école;つうがくする
N2;通勤する;aller au travail, se rendre au travail;つうきんする
N3;通行;passage, trafic, circulation;つうこう
N3;通じる [一段];mener à, conduire à, comprendre;つうじる
N3;通信;correspondance, communication;つうしん
N2;通知;annonce, notification;つうち
N2;通帳;livret de banque, carnet;つうちょう
N2;通訳;traducation orale;つうやく
N2;通用する;être valide, être en cours, circuler;つうようする
N2;通路;chemin, passage;つうろ
N2;遣い;usage, utilisation;づかい
N5;使う [五段];"utiliser, employer, dépenser (de l'argent, du temps),
parler (une langue)";つかう
N4;捕まえる [一段];attraper, capturer;つかまえる
N3;捕まる [五段];être attrapé, être capturé, être pris;つかまる
N3;掴む [五段];prendre, saisir, agripper, empoigner;つかむ
N3;疲れ;fatigue, épuisement;つかれ
N5;疲れる [一段];être fatigué;つかれる
N4;月;Lune;つき
N4;月;mois;つき
N2;付き;fourni avec, incluant, attaché à;つき
N5;次;suivant;つぎ
N3;付き吅い;fréquentation, relation;つきあい
N2;付き吅う [五段];"fréquenter quelqu'un, accompagner quelqu'un, être
d'accord avec quelqu'un";つきあう
N5;月明かり;clair de lune;つきあかり
N2;突き当たり;bout (d'une rue, d'un chemin...);つきあたり
N2;突き当たる [五段];heurter, entrer en collision avec;つきあたる
N3;次々に;un par un, l'un après l'autre, successivement;つぎつぎに
N2;月日;date, années, jours;つきひ
N5;着く [五段];arriver, atteindre;つく
N4;点く [五段];être allumé (lumière, lampe...), prendre feu;つく
N3;吐く [五段];souffler, respirer, dire (des mensonges);つく
N3;就く [五段];"être nommé, accéder à une position, prendre un
siège ou une position, partir, apprendre (sous la direction d'un enseignantà";つく
N2;付く [五段];"attacher, adhérer, coller, accompagner, s'allumer
(pour la lumière), avoir de la chance";つく
N2;突く [五段];piquer, percer, poignarder, frapper;つく
N2;次ぐ [五段];être le suivant, venir après;つぐ
N5;机;bureau (meuble);つくえ
N5;作る・創る・造る [五段];faire, créer, réaliser, construire, fabriquer;つくる
N5;点ける [一段];allumer (la lumière, une cigarette…);つける
N4;付ける・着ける [一段];"coller, attacher, fixer, enfiler un vêtement,
accompagner quelqu'un, allumer";つける
N4;漬ける・浸ける [一段];tremper, mariner;つける
N4;都吅;circonstance, condition;つごう
N4;伝える [一段];transmettre, communiquer, propager;つたえる
N2;伝わる [五段];se transmettre, se propager, être introduit;つたわる
N3;土;sol, terre;つち
N3;続き;continuation, suite;つづき
N4;続く [五段];se continuer, se prolonger;つづく
N4;続ける [一段];continuer;つづける
N2;突っ込む [五段];enfouir, plonger dans, s'immiscer dans, interférer;つっこむ
N3;包み;paquet, colis;つつみ
N4;包む [五段];envelopper, emballer;つつむ
N3;勤め;service, devoir, responsabilité, travail;つとめ
N3;務め;devoir, fonction, responsabilité;つとめ
N5;努める [一段];faire des efforts, s'appliquer, travailler;つとめる
N2;勤める・務める [一段];travailler pour, être employé par;つとめる
N2;綱;corde;つな
N2;繋がり;connexion, lien, relation;つながり
N2;繋がる [五段];être connecté, être lié, être relié;つながる
N3;繋ぐ [五段];"attacher, lier, connecter, transférer (un appel
téléphonique)";つなぐ
N2;繋げる [一段];"attacher, lier, connecter, transférer (un appel
téléphonique)";つなげる
N3;常に;toujours, constamment;つねに
N3;角;corne;つの
N3;翼;ailes;つばさ
N2;粒;graine, grain;つぶ
N2;潰す [五段];écraser, broyer,;つぶす
N4;妻;épouse, femme;つま
N2;躓く [五段];trébucher, se prendre les pieds dans;つまずく
N5;詰まらない;ennuyeux, peu intéressant;つまらない
N3;詰まり;bref, en d'autres mots, au final;つまり
N2;詰まる [五段];être bloqué, être plein;つまる
N3;罪;crime, faute, péché;つみ
N2;積む [五段];accumuler, empiler, entasser, charger (un véhicule);つむ
N2;爪;ongle, griffe, serre;つめ
N5;冷たい;glacé (au toucher), froid;つめたい
N3;詰める [一段];remplir, tasser, boucher, bloquer;つめる
N4;積もり;intention;つもり
N3;積もる [五段];s'empiler, s'entasser, s'accumuler;つもる
N2;艶;éclat, teint;つや
N5;強い;fort, puissant;つよい
N2;強気;ferme, énergique;つよき
N3;辛い;désespérant, pénible, douloureux;つらい
N2;辛い;difficile de (faire quelque chose);づらい
N3;釣り;pêche (aux poissons), monnaie (après un achat);つり
N2;釣り吅う [五段];s'équilibrer, s'assortir, s'harmoniser;つりあう
N4;釣る [五段];pêcher;つる
N2;吊る [五段];accrocher, suspendre;つる
N2;吊るす [五段];accrocher, suspendre;つるす
N3;連れ;compagnon (personne qui accompagne quelqu'un);つれ
N4;連れる [一段];emmener;つれる
N5;手;main;て
N3;出会い・出吅い;rencontre, rendez-vous;であい
N3;出会う・出吅う [五段];rencontrer par hasard, avoir un rendez-vous;であう
N2;手洗い;toilettes;てあらい
N2;低;bas, petit, peu élevé;てい
N3;提案;proposition, offre, suggestion;ていあん
N2;定員;"capacité (d'un moyen de transport, d'un lieu),
nombre de places";ていいん
N2;定価;prix fixé;ていか
N2;低下する;baisser, s'abaisser, se dégrader, se détériorer;ていかする
N3;定期;durée déterminée, période fixe;ていき
N2;定期券;carte d'abonnement;ていきけん
N2;定休日;jour de congé régulier;ていきゅうび
N3;抵抗;résistance, opposition;ていこう
N2;停止;suspension, arrêt, interruption;ていし
N2;停車;arrêt (d'un train, d'un véhicule…);ていしゃ
N3;提出;"présentation, soumission (d'un rapport, d'un
document…)";ていしゅつ
N2;停電;coupure de courant, panne d'électricité;ていでん
N3;程度;échelon, niveau, grade, rang;ていど
N4;丁寧;poli, courtois;ていねい
N2;出入り;entrée et sortie, débit et crédit, revenus et dépenses;でいり
N2;出入り口;entrée et sortie;でいりぐち
N3;停留所;arrêt de bus ou de tram;ていりゅうじょ
N2;手入れ;maintenance, réparation;ていれ
N3;;rendez-vous;デート
N5;;bande magnétique, cassette audio;テープ
N5;;table;テーブル
N5;;magnétophone;"テープレコーダ
ー"
N2;;thème, sujet;テーマ
N5;出かける [一段];sortir, partir;でかける
N5;手紙;lettre;てがみ
N3;敵;ennemi, adversaire, concurrent;てき
N2;的;de type, du genre;てき
N2;出来上がり;travail accompli, travail achevé;できあがり
N2;出来上がる [五段];être fini, être terminé, être complètement saoul;できあがる
N2;的確・適確;précis, judicieux, juste, convenable;てきかく
N3;出来事;incident, évènement, affaire;できごと
N4;;texte;テキスト
N3;適する;convenir, être convenable, être approprié;てきする
N3;適切;pertinent, approprié, adéquat;てきせつ
N3;適度;modéré, mesuré;てきど
N4;適当;approprié, convenable;てきとう
N3;適用;application, mise en pratique, utilisation;てきよう
N5;出来る [一段];être capable de faire, être fait;できる
